local_hour,timestamp_utc,timestamp,ghi_wm2,dni_wm2,dhi_wm2,temp_air_c,controller_type,hour,pv_power_kw,home_load_kw,ev_charge_kw,total_load_kw,battery_charge_kw,battery_discharge_kw,battery_soc,battery_soh,battery_capacity_loss_percent,battery_throughput_kwh,grid_import_kw,grid_export_kw,import_cost_rs,export_revenue_rs,energy_net_cost_rs,degradation_cost_rs,net_cost_rs
8,1990-01-01 03:00:00+00:00,1990-01-01 08:30:00+05:30,292.9,959.53,74.05,17.2,degradation_aware,3,2.0066865620001346,0.6,0.0,0.6,0.9108323447392772,0.0,0.2865290713823341,0.9999590583430956,0.004094165690434044,3.7608323571007096,0.0,0.4958542162411672,0.0,1.4875626487235016,-1.4875626487235016,1.366248517108916,-0.1213141316145856
9,1990-01-01 04:00:00+00:00,1990-01-01 09:30:00+05:30,485.85,954.97,93.45,17.46,degradation_aware,4,2.889581578643302,0.6,0.0,0.6,1.1176174985792717,0.0,0.39270273377706194,0.9999470488347766,0.0052951165223466485,4.878449855679982,0.0,1.171964079019417,0.0,3.5158922370582513,-3.5158922370582513,1.676426247868908,-1.8394659891893432
10,1990-01-01 05:00:00+00:00,1990-01-01 10:30:00+05:30,633.3,951.83,104.75,17.71,degradation_aware,5,3.5673106515752067,0.6,0.0,0.6,1.0580561664468464,0.0,0.49321806961964715,0.9999356349397788,0.006436506022126828,5.936506022126828,0.0,1.909254484088052,0.0,5.727763452264156,-5.727763452264156,1.58708424967027,-4.140679202593886
11,1990-01-01 06:00:00+00:00,1990-01-01 11:30:00+05:30,716.95,930.72,110.65,17.97,degradation_aware,6,3.938543644965459,1.5,0.0,1.5,0.8860711150180217,0.0,0.577394825577924,0.9999259408952952,0.007405910470478183,6.82257713714485,0.0,1.552472528891952,0.0,4.657417586675856,-4.657417586675856,1.3291066725270329,-3.3283109141488234
12,1990-01-01 07:00:00+00:00,1990-01-01 12:30:00+05:30,731.1,894.56,111.4,18.22,degradation_aware,7,3.9784891106834666,1.5,0.0,1.5,0.897483005355865,0.0,0.6626557111184452,0.9999161327319084,0.008386726809167383,7.720060142500715,0.0,1.5810061042751522,0.0,4.743018312825456,-4.743018312825456,1.3462245080337978,-3.396793804791659
13,1990-01-01 08:00:00+00:00,1990-01-01 13:30:00+05:30,673.4,836.82,107.35,25.55,degradation_aware,8,3.6712544050474407,1.5,0.0,1.5,0.8910171786515168,0.0,0.7473023431223376,0.9999063892267884,0.009361077321152232,8.611077321152232,0.0,1.2802372253446666,0.0,3.8407116760339997,-3.8407116760339997,1.3365257679772755,-2.504185908056724
14,1990-01-01 09:00:00+00:00,1990-01-01 14:30:00+05:30,549.6,748.03,98.1,26.2,degradation_aware,9,3.0371349543978026,1.0,0.0,1.0,0.9682810990437716,0.0,0.8392890475634933,0.9998958730824647,0.010412691753529338,9.579358420196003,0.0,1.0688538543100268,0.0,3.20656156293008,-3.20656156293008,1.4524216485656578,-1.7541399143644223
15,1990-01-01 10:00:00+00:00,1990-01-01 15:30:00+05:30,372.6,605.18,82.6,26.29,degradation_aware,10,2.120321195944749,1.0,0.0,1.0,0.6299332895070047,0.0,0.8991327100972145,0.9998887404162363,0.011125958376369675,10.209291709703008,0.0,0.4903879054466214,0.0,1.4711637163398643,-1.4711637163398643,0.9448999342605072,-0.5262637820793571
16,1990-01-01 11:00:00+00:00,1990-01-01 16:30:00+05:30,168.4,363.3,55.15,25.88,degradation_aware,11,1.0129713492087786,1.0,0.0,1.0,0.009129374772574056,1.2631243100044915e-10,0.9000000006873129,0.999887815789154,0.011218421084601894,10.218421084601895,0.0,0.0038419732580106235,0.0,0.01152591977403187,-0.01152591977403187,0.013694062348329733,0.0021681425742978624
17,1990-01-01 12:00:00+00:00,1990-01-01 17:30:00+05:30,15.85,60.4,9.05,24.54,degradation_aware,12,0.11223467975932198,1.0,0.0,1.0,0.0,0.48544702271730544,0.8489003140558675,0.9998821279855935,0.011787201440652532,10.7038681073192,0.40231829650957845,0.0,3.2185463720766276,0.0,3.2185463720766276,0.7281705340759583,3.946716906152586
18,1990-01-01 13:00:00+00:00,1990-01-01 18:30:00+05:30,0.0,0.0,0.0,22.11,degradation_aware,13,0.0,1.0,0.0,1.0,0.0,0.4791622071935132,0.7984621869535881,0.9998765030301882,0.01234969698117938,11.183030314512713,0.5208377917758426,0.0,4.16670233420674,0.0,4.16670233420674,0.71874331079027,4.88544564499701
19,1990-01-01 14:00:00+00:00,1990-01-01 19:30:00+05:30,0.0,0.0,0.0,20.4,degradation_aware,14,0.0,1.0,0.0,1.0,0.0,0.426394878664184,0.7535785154866286,0.9998714057480682,0.012859425193176895,11.609425193176897,0.5736051202972463,0.0,4.5888409623779705,0.0,4.5888409623779705,0.6395923179962761,5.228433280374246
20,1990-01-01 15:00:00+00:00,1990-01-01 20:30:00+05:30,0.0,0.0,0.0,19.28,degradation_aware,15,0.0,1.0,0.0,1.0,0.0,0.38958186897812475,0.7125698976713716,0.9998666765960451,0.013332340395488354,11.999007062155021,0.6104181299768576,0.0,4.883345039814861,0.0,4.883345039814861,0.5843728034671872,5.467717843282048
21,1990-01-01 16:00:00+00:00,1990-01-01 21:30:00+05:30,0.0,0.0,0.0,18.37,degradation_aware,16,0.0,1.0,0.0,1.0,0.0,0.36323160068664895,0.6743349923084005,0.9998622109467049,0.013778905329508337,12.362238662841671,0.6367683982641777,0.0,5.094147186113422,0.0,5.094147186113422,0.5448474010299735,5.6389945871433955
22,1990-01-01 17:00:00+00:00,1990-01-01 22:30:00+05:30,0.0,0.0,0.0,17.49,degradation_aware,17,0.0,2.4,0.0,2.4,0.0,0.6404195906915183,0.6069224037801015,0.9998549734174647,0.014502658253533187,13.00265825353319,1.7595804081793769,0.0,14.076643265435015,0.0,14.076643265435015,0.9606293860372778,15.037272651472293
23,1990-01-01 18:00:00+00:00,1990-01-01 23:30:00+05:30,0.0,0.0,0.0,16.71,degradation_aware,18,0.0,2.4,0.0,2.4,0.0,0.6327619782709909,0.540315879716828,0.9998478124643486,0.015218753565137511,13.635420231804181,1.7672380205919704,0.0,14.137904164735764,0.0,14.137904164735764,0.9491429674064865,15.08704713214225
0,1990-01-01 19:00:00+00:00,1990-01-02 00:30:00+05:30,0.0,0.0,0.0,15.98,degradation_aware,19,0.0,2.4,0.0,2.4,0.0,0.6497238807185226,0.4719238922379577,0.9998404818922081,0.015951810779189366,14.285144112522703,1.7502761181365485,0.0,14.002208945092388,0.0,14.002208945092388,0.9745858210777841,14.976794766170173
1,1990-01-01 20:00:00+00:00,1990-01-02 01:30:00+05:30,0.0,0.0,0.0,15.38,degradation_aware,20,0.0,2.4,0.0,2.4,0.0,0.7045151938955094,0.39776439810930786,0.9998326034069358,0.01673965930641821,14.989659306418213,1.6954848049516025,0.0,13.56387843961282,0.0,13.56387843961282,1.0567727908432643,14.620651230456083
2,1990-01-01 21:00:00+00:00,1990-01-02 02:30:00+05:30,0.0,0.0,0.0,14.83,degradation_aware,21,0.0,2.4,0.0,2.4,0.0,0.8723141089017836,0.3059418602973095,0.9998230469325134,0.017695306748653328,15.861973415319996,1.5276858899406818,0.0,12.221487119525454,0.0,12.221487119525454,1.3084711633526755,13.52995828287813
3,1990-01-01 22:00:00+00:00,1990-01-02 03:30:00+05:30,0.0,0.0,0.0,14.34,degradation_aware,22,0.0,0.9,0.0,0.9,0.0,0.42828618782426786,0.26085910366011444,0.9998179307373019,0.01820692626981093,16.290259603144264,0.47171381107912574,0.0,3.773710488633006,0.0,3.773710488633006,0.642429281736402,4.416139770369408
4,1990-01-01 23:00:00+00:00,1990-01-02 04:30:00+05:30,0.0,0.0,0.0,13.92,degradation_aware,23,0.0,0.9,0.0,0.9,0.0,0.5781615013816763,0.19999999822445202,0.9998113157889548,0.01886842110452594,16.86842110452594,0.32183849754880123,0.0,2.57470798039041,0.0,2.57470798039041,0.8672422520725147,3.4419502324629248
